event,id,chapter,kind,tin,tout,dur,track,rf_parent,status,asset,prompt
51,S45,CH.04,still,10:34,10:50,16,A,,PENDING,,"A length of fine bone-white cloth being lifted and offered on two open palms — hands cropped at the wrist by the frame. The cloth is unmarked and of obvious quality. Warm ochre light falls fully on it. Deep navy behind. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
52,S46,CH.04,still,10:50,11:05,15,A,,PENDING,,"A cup of water set down on a low table beside a seated cushion, placed carefully and squarely, with a folded cloth beneath it. Nobody present. Warm ochre pool of lamplight around the cup, deep navy beyond its edge. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
53,S47,CH.04,still,11:05,11:20,15,A,,PENDING,,"A doorway seen from inside a dark room, its curtain drawn fully back and hooked open, warm ochre light flooding in unobstructed. The gesture of the frame is welcome. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
54,S48,CH.05,still,11:20,11:30,10,A,,GENERATED,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260818_063848_3eee8515-8814-4753-bdf8-49a8efca1afe.png,"An immense flat open plain seen from a low vantage at dawn, running unbroken to a distant horizon, with no wall, fence or boundary anywhere in the frame. Pale cream sky, warm ochre light along the horizon line, navy foreground earth. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
55,C7,CH.05,card,11:30,11:34,4,A,,TYPESET,,بِرّ / عُقُوق   [split card]
56,S49,CH.05,reframe,11:34,11:49,15,A,S48,REFRAME,,"camera move on S48: Slow lateral pan across the open plain, holding the horizon."
57,S50,CH.05,still,11:49,12:04,15,A,,PENDING,,"A wide shallow bowl being filled with grain from above, the grain overflowing the rim and spilling down the sides onto the table in a widening heap. Warm ochre light from the left, deep navy behind. Abundance past the point of containment. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
58,S51,CH.05,still,12:04,12:19,15,A,,PENDING,,"A root system exposed in a cutaway of dry earth, spreading wide and fine and far beyond the width of the small tree above it. Warm ochre in the upper soil, deep navy in the depths. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
59,S52,CH.05,still,12:19,12:34,15,A,,PENDING,,"A thick rope of woven fibre lying on a dark surface, cleanly severed at the centre of frame, the two cut ends splayed and fraying, a hand's width of empty dark ground between them. Hard ochre raking light across the fibres. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
60,S53,CH.05,reframe,12:34,12:49,15,A,S52,REFRAME,,camera move on S52: Push in tight on the gap between the two cut ends.
61,S54,CH.05,still,12:49,13:04,15,A,,PENDING,,"A dry riverbed cracked into plates, the fissures running deep and dark between them, seen from above. Pale cream and ochre earth, deep navy in the cracks. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
62,S55,CH.05,still,13:04,13:19,15,A,,PENDING,,"A single fired clay tile broken cleanly in two, the halves set slightly apart on a dark table so the break line reads as a navy channel. Warm ochre light. The break is fresh and sharp. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
63,S56,CH.05,still,13:19,13:34,15,A,,PENDING,,"A seated figure seen from behind and slightly above, on a floor cushion, in the act of straightening up from a reclining posture — shoulders lifting, back becoming vertical. Cropped at the neck, no head in frame. Warm ochre lamp to one side. Deep navy room. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. A floor cushion and a bolster, the bolster pushed aside and the cushion's compression showing someone has just risen from it. Lamp beside. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
64,S57,CH.05,still,13:34,13:49,15,A,,PENDING,,"A short list of objects arranged in a descending vertical line on cream parchment — a small stone at the top, then progressively smaller stones beneath it. No text anywhere. Warm ochre light from the upper left, each stone throwing a navy shadow. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
65,S58,CH.05,reframe,13:49,14:05,16,A,S57,REFRAME,,"camera move on S57: Push to the top stone alone, the rest falling out of frame below."
66,S59,CH.06,still,14:05,14:30,25,A,,PENDING,,"A lamp being refilled with oil from a small jug, the vessel steady on a table, the flame still burning as the oil goes in. Warm ochre light from the flame itself, deep navy room. Held long under the subscribe ask. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
67,S60,CH.06,still,14:30,14:44,14,A,,PENDING,,"A phrase's worth of decorative tilework on a wall, one tile of which has been replaced at some point with a tile of a slightly different pattern — visible only on close inspection. Warm ochre raking light. Deep navy grout lines. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
68,S61,CH.06,still,14:44,14:58,14,A,,PENDING,,"A worn stone floor, seen from standing height, at the point where a doorway's threshold meets it. Two bare footprints' worth of wear are visible in the stone just inside the door. No feet present. Warm ochre light from the doorway. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
69,S62,CH.06,still,14:58,15:12,14,A,,PENDING,,"A saddled travelling camel standing at a gate at dawn, loaded and ready, its lead rope hanging loose and untied. Seen at distance and side-on. Pale cream sky, warm ochre light along the animal's back, deep navy gate. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. A gate at dawn with a full travelling pack, a water skin and a bedroll set on the ground beside it, the lead rope coiled on top. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
70,S63,CH.06,still,15:12,15:26,14,A,,PENDING,,"A doorway seen from the road outside, with a lamp burning within, and the road itself running away from it into deep navy country. The lit doorway is small in frame and the road is large. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
71,S64,CH.06,reframe,15:26,15:40,14,A,S63,REFRAME,,camera move on S63: Reverse the move — push in toward the lit doorway until it fills the frame.
72,S65,CH.06,still,15:40,15:54,14,A,,PENDING,,"A pair of worn slippers set neatly at the foot of a floor cushion, close and low, warm ochre lamplight raking across the leather. Deep navy floor beyond. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
73,S66,CH.06,still,15:54,16:08,14,A,,PENDING,,"Two manuscript pages side by side on a table, one noticeably more worn, foxed and repaired at the corners than the other. Warm ochre light from above. No legible writing on either — ink strokes only. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
74,S67,CH.06,still,16:08,16:25,17,A,,PENDING,,"A weapon — a sheathed sword — laid down flat on a stone step outside a lit doorway, deliberately set aside rather than dropped. Warm ochre light from the doorway falls across the scabbard. Deep navy street. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
75,S68,CH.07,still,16:25,16:39,14,A,,PENDING,,"A small square stone cell standing alone on a bare hillside at first light, a single low doorway, no windows. Pale cream sky, warm ochre light on one wall, the other faces in deep navy. Isolated and deliberate. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
76,S69,CH.07,still,16:39,16:53,14,A,,GENERATED,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260818_063848_a6082402-7cd9-43b3-81fb-42ab0606fd55.png,"The interior of the cell: a woven prayer mat laid square on a swept stone floor, a shallow niche in the far wall, a small lamp burning in it. Nobody present. Warm ochre from the niche, deep navy corners. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
77,S70,CH.07,reframe,16:53,17:07,14,A,S69,REFRAME,,camera move on S69: Slow push toward the lit niche until it fills the upper frame.
78,S71,CH.07,still,17:07,17:21,14,A,,PENDING,,"A doorway seen from inside a dark room, with the long shadow of a standing figure cast across the threshold from outside — the figure itself entirely outside the frame. Warm ochre daylight beyond, deep navy interior. Only the shadow. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
79,S72,CH.07,still,17:21,17:35,14,A,,PENDING,,"The outside of the cell's low doorway, close, with a single old hand cropped at the wrist resting flat against the doorframe — waiting rather than knocking. Warm ochre light across the weathered wood, deep navy inside the opening. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
80,S73,CH.07,still,17:35,17:49,14,A,,PENDING,,"A prayer mat seen from directly above, its nap worn bare in two places where feet have stood, and in one place where a forehead has rested. Warm ochre raking light shows the wear. Deep navy floor around the edge. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
81,S74,CH.07,still,17:49,18:03,14,A,,PENDING,,"Three short vertical scratches cut into a plastered wall beside a doorway, close and low, the plaster crumbled a little at each mark. Warm ochre raking light throws each scratch into navy relief. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
82,S75,CH.07,reframe,18:03,18:17,14,A,S74,REFRAME,,"camera move on S74: Push to the third scratch alone, isolated in frame."
83,S76,CH.07,still,18:17,18:31,14,A,,PENDING,,"Two open hands raised and cupped in supplication, cropped at the forearms by the frame edge, held against a field of deep navy, one warm ochre light catching the palms. Old hands, thin skinned. Nothing else in frame. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. An empty prayer mat with a single lamp set at its head, the room entirely dark beyond, one warm ochre pool of light. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
84,S77,CH.07,still,18:31,18:45,14,A,,PENDING,,"The stone cell pulled apart: its walls reduced to a low scatter of blocks on the hillside, the doorway lintel lying flat among them, the prayer mat visible half-buried under stone. Pale cream sky, deep navy rubble, one warm ochre shaft of low sun across the wreckage. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
85,S78,CH.07,still,18:45,18:58,13,A,,PENDING,,"Dust settling in a low warm shaft of light over broken stone, close to the ground, the air thick with it. Deep navy beyond the shaft. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
86,S79,CH.07,still,18:58,19:10,12,A,,PENDING,,"A wooden peg rail on a wall with every single peg occupied by a hanging garment or bag, and one further garment lying on the floor beneath it with nowhere left to go. Warm ochre light from the left, deep navy wall. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
87,S80,CH.08,still,19:10,19:24,14,A,,PENDING,,"A single upright boundary stone standing in open ground, weathered and plain, with country running away unbroken on both sides of it. Pale cream sky, warm ochre on the stone's lit face, deep navy on its shadow side. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
88,S81,CH.08,reframe,19:24,19:38,14,A,S80,REFRAME,,camera move on S80: Widen out to show how much open ground lies on either side of the stone.
89,S82,CH.08,still,19:38,19:52,14,A,,PENDING,,"A single clean line drawn in fine sand, close and low, sharp-edged and unmistakable, running the full width of frame. Warm ochre light from one side throws a thin navy shadow along the line's edge. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
90,S83,CH.08,still,19:52,20:06,14,A,,PENDING,,"An open palm held up flat, cropped at the wrist, facing camera in the universal gesture of refusal, against deep navy. One warm ochre light from the left rakes across it. Nothing else in frame. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. A closed gate with a lamp still burning brightly on the near side of it — shut, and not dark. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
91,S84,CH.08,still,20:06,20:20,14,A,,PENDING,,"Two tracks in dry ground that diverge at a low rise, but which continue to run within sight of one another for as far as the frame extends. Pale cream sky, warm ochre earth, navy in the wheel ruts. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
92,S85,CH.08,still,20:20,20:35,15,A,,PENDING,,"A rope bridge spanning a narrow ravine, entirely intact, its planks worn with use, seen side-on. Nobody on it. Warm ochre light along the ropes, deep navy in the gorge below. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
93,C8,CH.08,card,20:35,20:39,4,A,,TYPESET,,وَصَاحِبْهُمَا مَعْرُوفًا
94,S86,CH.08,still,20:39,20:53,14,A,,PENDING,,"A tray of food set on the floor beside a cushion, completely untouched — bread unbroken, dates unmoved, the cup full to the brim. Warm ochre lamplight from one side, deep navy floor beyond. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
95,S87,CH.08,reframe,20:53,21:07,14,A,S86,REFRAME,,camera move on S86: Push in on the unbroken bread.
96,S88,CH.08,still,21:07,21:21,14,A,,PENDING,,"A lamp burning steadily in an otherwise empty room, seen from the far corner, its light reaching only a small distance into deep navy. The room is not abandoned — a cushion, a folded cloth, a cup all remain in place. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
97,S89,CH.08,still,21:21,21:35,14,A,,PENDING,,"A second cup of water set down beside the untouched tray, close and low, placed squarely and with care. Warm ochre pool of light. Deep navy beyond. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
98,S90,CH.08,still,21:35,21:49,14,A,,PENDING,,"The same tray, now with the bread broken and a portion taken, the cup half empty. Warm ochre lamplight from the same side as before. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
99,S91,CH.08,reframe,21:49,22:05,16,A,S90,REFRAME,,camera move on S90: Pull back slowly from the tray to include the cushion beside it.
100,S92,CH.09,still,22:05,22:21,16,A,,GENERATED,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260818_063848_97a444bb-ab27-4c1d-9472-2defa1029c18.png,"A heavy wooden door bolted shut from the inside, seen from the interior, with warm ochre lamplight full on the near face of the door and the bolt drawn firmly across. The room behind camera is lit and lived in. Deep navy at the door's edges. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
101,S93,CH.09,reframe,22:21,22:37,16,A,S92,REFRAME,,camera move on S92: Push in on the drawn bolt.
102,S94,CH.09,still,22:37,22:53,16,A,,PENDING,,"A high courtyard wall with a closed gate set into it, and a small shuttered window in the gate standing open. Warm ochre light comes through the small open window; the gate itself stays shut. Deep navy wall. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
103,S95,CH.09,still,22:53,23:08,15,A,,PENDING,,"A folded cloth bundle left on a stone doorstep at dawn, tied with cord, placed squarely against the door. Nobody present, and no footprints. Pale cream light, warm ochre on the cloth, deep navy in the doorway recess. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
104,S96,CH.09,still,23:08,23:23,15,A,,PENDING,,"A small heap of coins wrapped in an open square of cloth on a plain table, the cloth being folded closed over them. Hands are not in frame. Warm ochre light from above, deep navy table edge. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
105,S97,CH.09,reframe,23:23,23:38,15,A,S96,REFRAME,,camera move on S96: Push in until the wrapped bundle fills the frame.
106,S98,CH.09,still,23:38,23:53,15,A,,PENDING,,"A house on the far side of a wide dark valley at night, with a single lit window, seen from a great distance. Most of the frame is deep navy country. The lit window is very small and very warm. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
