id,scene,seed_group,pass,act,cue_at,vo_cue,prompt,negative_prompt,aspect_ratio,save_as
S029-line,S029,S029,line,ACT 1 — THE ORDERING PROBLEM,7:16,Nöldeke divided the Meccan period into three phases,"Three parchment strips of increasing length pinned in a row, ends ragged, a fine indigo line ruled beneath them., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S029-line.png
S029-wash,S029,S029,wash,ACT 1 — THE ORDERING PROBLEM,7:16,Nöldeke divided the Meccan period into three phases,"Three parchment strips of increasing length pinned in a row, ends ragged, a fine indigo line ruled beneath them. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S029-wash.png
S032-line,S032,S032,line,ACT 1 — THE ORDERING PROBLEM,8:44,Many surahs are mixed,"A single parchment leaf where two distinct ink tones meet mid-page — one warmer and older, one cooler and fresher — with no hard boundary between them., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S032-line.png
S032-wash,S032,S032,wash,ACT 1 — THE ORDERING PROBLEM,8:44,Many surahs are mixed,"A single parchment leaf where two distinct ink tones meet mid-page — one warmer and older, one cooler and fresher — with no hard boundary between them. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S032-wash.png
S033-line,S033,S033,line,ACT 1 — THE ORDERING PROBLEM,9:00,Hold it loosely,"An open hand, palm up, at the bottom of frame holding nothing. Cropped at the wrist. Warm wash, soft edge., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S033-line.png
S033-wash,S033,S033,wash,ACT 1 — THE ORDERING PROBLEM,9:00,Hold it loosely,"An open hand, palm up, at the bottom of frame holding nothing. Cropped at the wrist. Warm wash, soft edge. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S033-wash.png
S034-line,S034,S034,line,ACT 2 — EARLY MECCAN,9:15,Back to the cave,"Return to S002's composition, closer now, the light from the cave mouth stronger and warmer. for continuity., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S034-line.png
S034-wash,S034,S034,wash,ACT 2 — EARLY MECCAN,9:15,Back to the cave,"Return to S002's composition, closer now, the light from the cave mouth stronger and warmer. for continuity. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S034-wash.png
S036-line,S036,S036,line,ACT 2 — EARLY MECCAN,9:40,Created man from a clinging clot,"Abstract: a single dark red-brown wash blot on wet parchment, bleeding at its edge, magnified to fill the frame. Biological without being anatomical., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S036-line.png
S036-wash,S036,S036,wash,ACT 2 — EARLY MECCAN,9:40,Created man from a clinging clot,"Abstract: a single dark red-brown wash blot on wet parchment, bleeding at its edge, magnified to fill the frame. Biological without being anatomical. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S036-wash.png
S037-line,S037,S037,line,ACT 2 — EARLY MECCAN,9:56,Who taught by the pen,"A cut reed pen lying alone on parchment, its nib freshly wet, one small drop of ink beside it. Centred, still, reverent. Hold long., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S037-line.png
S037-wash,S037,S037,wash,ACT 2 — EARLY MECCAN,9:56,Who taught by the pen,"A cut reed pen lying alone on parchment, its nib freshly wet, one small drop of ink beside it. Centred, still, reverent. Hold long. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S037-wash.png
S039-line,S039,S039,line,ACT 2 — EARLY MECCAN,10:38,the rest of Al-Alaq is generally taken to be later,"One parchment leaf, the upper third in warm aged ink, the lower two thirds in a visibly cooler fresher ink, a faint horizontal join between them., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S039-line.png
S039-wash,S039,S039,wash,ACT 2 — EARLY MECCAN,10:38,the rest of Al-Alaq is generally taken to be later,"One parchment leaf, the upper third in warm aged ink, the lower two thirds in a visibly cooler fresher ink, a faint horizontal join between them. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S039-wash.png
S040-line,S040,S040,line,ACT 2 — EARLY MECCAN,11:00,"Then, according to most accounts, nothing.","An empty sky. Nothing else in frame but a wash gradient from pale at the horizon to deeper above, and a single tiny bird high up. Hold 8s. Let it be uncomfortable., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S040-line.png
S040-wash,S040,S040,wash,ACT 2 — EARLY MECCAN,11:00,"Then, according to most accounts, nothing.","An empty sky. Nothing else in frame but a wash gradient from pale at the horizon to deeper above, and a single tiny bird high up. Hold 8s. Let it be uncomfortable. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S040-wash.png
S041-line,S041,S041,line,ACT 2 — EARLY MECCAN,11:22,he came down the mountain shaking and asked to be covered,"A heavy woollen blanket bunched on a floor, still shaped by a body, seen from above. Dim interior light. No figure., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S041-line.png
S041-wash,S041,S041,wash,ACT 2 — EARLY MECCAN,11:22,he came down the mountain shaking and asked to be covered,"A heavy woollen blanket bunched on a floor, still shaped by a body, seen from above. Dim interior light. No figure. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S041-wash.png
S043-line,S043,S043,line,ACT 2 — EARLY MECCAN,12:12,"arise, and warn","An empty doorway from inside a dark room, opening onto hard white daylight. The threshold is the brightest thing in frame., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S043-line.png
S043-wash,S043,S043,wash,ACT 2 — EARLY MECCAN,12:12,"arise, and warn","An empty doorway from inside a dark room, opening onto hard white daylight. The threshold is the brightest thing in frame. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S043-wash.png
S044-line,S044,S044,line,ACT 2 — EARLY MECCAN,12:34,"stand at night, but not all night","A small oil lamp on a floor, one flame, the room around it going to deep indigo. A prayer mat edge just catching the light., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S044-line.png
S044-wash,S044,S044,wash,ACT 2 — EARLY MECCAN,12:34,"stand at night, but not all night","A small oil lamp on a floor, one flame, the room around it going to deep indigo. A prayer mat edge just catching the light. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S044-wash.png
S047-line,S047,S047,line,ACT 2 — EARLY MECCAN,13:18,"verses of three, four, six words","Six short ink strokes in a vertical column on parchment, each shorter than a thumb, evenly spaced. Rhythm as image. No letterforms., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S047-line.png
S047-wash,S047,S047,wash,ACT 2 — EARLY MECCAN,13:18,"verses of three, four, six words","Six short ink strokes in a vertical column on parchment, each shorter than a thumb, evenly spaced. Rhythm as image. No letterforms. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S047-wash.png
S048-line,S048,S048,line,ACT 2 — EARLY MECCAN,13:34,carried by memory through a city that does not want to hear it,"A night street of mud-brick, one shuttered window with a thin line of lamplight escaping under it. Everything else dark indigo., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S048-line.png
S048-wash,S048,S048,wash,ACT 2 — EARLY MECCAN,13:34,carried by memory through a city that does not want to hear it,"A night street of mud-brick, one shuttered window with a thin line of lamplight escaping under it. Everything else dark indigo. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S048-wash.png
S049-line,S049,S049,line,ACT 2 — EARLY MECCAN,13:56,when the sun is folded up,"A sun low and swollen on the horizon, the sky around it rendered as a wash being physically pulled or rolled at one corner. Surreal, restrained., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S049-line.png
S049-wash,S049,S049,wash,ACT 2 — EARLY MECCAN,13:56,when the sun is folded up,"A sun low and swollen on the horizon, the sky around it rendered as a wash being physically pulled or rolled at one corner. Surreal, restrained. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S049-wash.png
S050-line,S050,S050,line,ACT 2 — EARLY MECCAN,14:16,a man who spent his life counting his wealth,"A heap of small coins on a table, and beside it a set of scales with one empty pan hanging lower than the full one. No hands., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S050-line.png
S050-wash,S050,S050,wash,ACT 2 — EARLY MECCAN,14:16,a man who spent his life counting his wealth,"A heap of small coins on a table, and beside it a set of scales with one empty pan hanging lower than the full one. No hands. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S050-wash.png
S051-line,S051,S051,line,ACT 2 — EARLY MECCAN,14:36,The orphan you pushed away,"A child's small worn sandal alone on a doorstep, and the door shut. Warm dust. No child in frame., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S051-line.png
S051-wash,S051,S051,wash,ACT 2 — EARLY MECCAN,14:36,The orphan you pushed away,"A child's small worn sandal alone on a doorstep, and the door shut. Warm dust. No child in frame. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S051-wash.png
S052-line,S052,S052,line,ACT 2 — EARLY MECCAN,14:52,two roads and a steep one,"A dry valley where a path forks: one broad and level running out of frame right, one narrow and climbing steeply left into rock. Drawn from above., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S052-line.png
S052-wash,S052,S052,wash,ACT 2 — EARLY MECCAN,14:52,two roads and a steep one,"A dry valley where a path forks: one broad and level running out of frame right, one narrow and climbing steeply left into rock. Drawn from above. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S052-wash.png
S053-line,S053,S053,line,ACT 2 — EARLY MECCAN,15:16,Al-Masad. It is about one specific man.,"A single dead branch, bark stripped, lying on pale ground. Harsh directional light, hard shadow., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S053-line.png
S053-wash,S053,S053,wash,ACT 2 — EARLY MECCAN,15:16,Al-Masad. It is about one specific man.,"A single dead branch, bark stripped, lying on pale ground. Harsh directional light, hard shadow. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S053-wash.png
S054-line,S054,S054,line,ACT 2 — EARLY MECCAN,15:38,his sons had died in infancy,"Two very small mounds of earth side by side on open ground, unmarked, with a third space beside them. Distant, low horizon, no figure., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S054-line.png
S054-wash,S054,S054,wash,ACT 2 — EARLY MECCAN,15:38,his sons had died in infancy,"Two very small mounds of earth side by side on open ground, unmarked, with a third space beside them. Distant, low horizon, no figure. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S054-wash.png
S057-line,S057,S057,line,ACT 2 — EARLY MECCAN,16:26,the hot stones of the valley floor,"Cracked sun-bleached stones filling the frame, heat shimmer suggested by a broken wash at the top edge. One large flat rock at centre. Nothing else., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S057-line.png
S057-wash,S057,S057,wash,ACT 2 — EARLY MECCAN,16:26,the hot stones of the valley floor,"Cracked sun-bleached stones filling the frame, heat shimmer suggested by a broken wash at the top edge. One large flat rock at centre. Nothing else. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S057-wash.png
